question,answer
"¿Cuál es vuestro horario?","Nuestro horario es de lunes a viernes de 9:00 a 21:00."
"¿Dónde estáis ubicados?","Nuestra empresa está ubicada en Sevilla (España)."
"¿Qué productos vendéis?","Ofrecemos Producto1, producto2 y producto3."
"¿Qué servicios ofrecéis?","Prestamos servicios de Consultoria, Formación y Mentoría."
"¿Cómo puedo hacer un pedido?","Puedes hacer tu pedido a través de nuestra web, por teléfono o por correo electrónico."
"¿Hacéis envíos?","Sí, realizamos envíos solo a España."
"¿Cuánto tarda el envío?","El plazo habitual de entrega es de 24 a 72 horas laborables."
"¿Cuáles son los gastos de envío?","Los gastos de envío dependen de la zona y del importe del pedido."
"¿Qué métodos de pago aceptáis?","Aceptamos tarjeta, transferencia bancaria y Paypal."
"¿Puedo solicitar una factura?","Sí, emitimos factura para todos los pedidos."
"¿Se pueden hacer devoluciones?","Sí, aceptamos devoluciones dentro del plazo establecido, siempre que el producto esté en buen estado."
"¿Cómo contacto con atención al cliente?","Puedes contactar con nosotros por teléfono, email o mediante el chat de esta web."
"¿Ofrecéis presupuestos?","Sí, preparamos presupuestos sin compromiso."
"¿Tenéis descuentos para empresas o grandes pedidos?","Sí, podemos ofrecer condiciones especiales para compras de volumen."
"¿Puedo hablar con una persona?","Sí, indícanos tu consulta y te atenderá un miembro de nuestro equipo."
